,id,name_en,rarity,type,gender,slot_1,slot_2,slot_3,defense_base,defense_max,defense_augment_max,defense_fire,defense_water,defense_thunder,defense_ice,defense_dragon,base_name_en,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty,base_name_en,skill1_name,skill1_level,skill2_name,skill2_level
17,18,Bone Vambraces,1,arms,both,0,0,0,6,42,72,2,0,2,0,2,Bone Vambraces,Monster Bone S,3,Kestodon Shell,2.0,None,None,None,None,Bone Vambraces,Slugger,1.0,None,None
18,19,Bone Coil,1,waist,both,0,0,0,6,42,72,2,0,2,0,2,Bone Coil,Monster Bone S,1,Kestodon Shell,1.0,None,None,None,None,Bone Coil,Horn Maestro,1.0,None,None
19,20,Bone Greaves,1,legs,both,0,0,0,6,42,72,2,0,2,0,2,Bone Greaves,Monster Bone S,1,Ancient Bone,1.0,None,None,None,None,Bone Greaves,Entomologist,1.0,None,None
20,21,Vespoid Helm,1,head,both,0,0,0,8,44,74,-2,1,1,1,2,Vespoid Helm,Vespoid Shell,2,Iron Ore,2.0,None,None,None,None,Vespoid Helm,Quick Sheath,1.0,None,None
21,22,Vespoid Mail,1,chest,both,0,0,0,8,44,74,-2,1,1,1,2,Vespoid Mail,Vespoid Shell,1,Machalite Ore,1.0,None,None,None,None,Vespoid Mail,Windproof,1.0,None,None
22,23,Vespoid Vambraces,1,arms,both,0,0,0,8,44,74,-2,1,1,1,2,Vespoid Vambraces,Vespoid Wing,2,Monster Fluid,1.0,None,None,None,None,Vespoid Vambraces,Paralysis Attack,1.0,None,None
23,24,Vespoid Coil,1,waist,both,0,0,0,8,44,74,-2,1,1,1,2,Vespoid Coil,Vespoid Shell,1,Iron Ore,4.0,None,None,None,None,Vespoid Coil,Paralysis Resistance,1.0,None,None
24,25,Vespoid Greaves,1,legs,both,0,0,0,8,44,74,-2,1,1,1,2,Vespoid Greaves,Vespoid Wing,2,Monster Fluid,1.0,None,None,None,None,Vespoid Greaves,Honey Hunter,1.0,None,None
25,26,Kestodon Guards,1,arms,both,0,0,0,12,48,78,4,0,0,0,0,Kestodon Guards,Kestodon Shell,6,Kestodon Scalp,3.0,None,None,None,None,Kestodon Guards,Affinity Sliding,1.0,None,None
26,27,Gajau Boots,1,legs,both,0,0,0,12,48,78,0,5,0,0,0,Gajau Boots,Gajau Skin,4,Gajau Whisker,2.0,None,None,None,None,Gajau Boots,Aquatic/Polar Mobility,1.0,None,None
27,28,Jagras Helm,1,head,both,0,0,0,8,44,74,-2,2,-1,-1,1,Jagras Helm,Great Jagras Hide,2,Great Jagras Mane,2.0,Great Jagras Claw,2.0,Ancient Bone,1.0,Jagras Helm,Speed Eating,1.0,None,None
28,29,Jagras Mail,1,chest,both,0,0,0,8,44,74,-2,2,-1,-1,1,Jagras Mail,Great Jagras Hide,2,Great Jagras Claw,1.0,Great Jagras Scale,2.0,Monster Bone S,3.0,Jagras Mail,Intimidator,1.0,None,None
29,30,Jagras Vambraces,1,arms,both,0,0,0,8,44,74,-2,2,-1,-1,1,Jagras Vambraces,Great Jagras Scale,2,Great Jagras Hide,1.0,Jagras Hide,3.0,None,None,Jagras Vambraces,Palico Rally,1.0,None,None
30,31,Jagras Coil,1,waist,both,0,0,0,8,44,74,-2,2,-1,-1,1,Jagras Coil,Great Jagras Hide,1,Great Jagras Mane,1.0,Great Jagras Scale,2.0,Sharp Claw,2.0,Jagras Coil,Fortify,1.0,None,None
31,32,Jagras Greaves,1,legs,both,0,0,0,8,44,74,-2,2,-1,-1,1,Jagras Greaves,Great Jagras Scale,1,Great Jagras Hide,1.0,Great Jagras Mane,1.0,Jagras Scale,2.0,Jagras Greaves,Speed Crawler,1.0,None,None
32,33,Kulu Headpiece,1,head,both,0,0,0,10,46,76,0,-3,0,1,0,Kulu Headpiece,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1.0,Kulu-Ya-Ku Plume,1.0,None,None,Kulu Headpiece,Fire Resistance,1.0,None,None
33,34,Kulu Mail,1,chest,both,0,0,0,10,46,76,0,-3,0,1,0,Kulu Mail,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Plume,1.0,Kulu-Ya-Ku Beak,1.0,Machalite Ore,2.0,Kulu Mail,Stamina Surge,1.0,None,None
34,35,Kulu Vambraces,1,arms,both,0,0,0,10,46,76,0,-3,0,1,0,Kulu Vambraces,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1.0,Iron Ore,3.0,None,None,Kulu Vambraces,Pro Transporter,1.0,None,None
35,36,Kulu Coil,1,waist,both,0,0,0,10,46,76,0,-3,0,1,0,Kulu Coil,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Beak,1.0,Wingdrake Hide,2.0,None,None,Kulu Coil,Item Prolonger,1.0,None,None
36,37,Kulu Greaves,1,legs,both,0,0,0,10,46,76,0,-3,0,1,0,Kulu Greaves,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Scale,3.0,Wingdrake Hide,2.0,None,None,Kulu Greaves,Critical Eye,1.0,None,None
37,38,Alloy Helm,2,head,both,0,0,0,8,40,66,-2,1,-2,-2,1,Alloy Helm,Machalite Ore,4,Iron Ore,4.0,Earth Crystal,2.0,None,None,Alloy Helm,Windproof,1.0,None,None
38,39,Alloy Mail,2,chest,both,0,0,0,8,40,66,-2,1,-2,-2,1,Alloy Mail,Machalite Ore,3,Iron Ore,6.0,Earth Crystal,1.0,None,None,Alloy Mail,Water Resistance,1.0,None,None
39,40,Alloy Vambraces,2,arms,both,0,0,0,8,40,66,-2,1,-2,-2,1,Alloy Vambraces,Machalite Ore,3,Iron Ore,6.0,Earth Crystal,1.0,None,None,Alloy Vambraces,Defense Boost,1.0,None,None
40,41,Alloy Coil,2,waist,both,0,0,0,8,40,66,-2,1,-2,-2,1,Alloy Coil,Machalite Ore,4,Iron Ore,4.0,Earth Crystal,2.0,None,None,Alloy Coil,Poison Resistance,1.0,None,None
41,42,Alloy Greaves,2,legs,both,0,0,0,8,40,66,-2,1,-2,-2,1,Alloy Greaves,Machalite Ore,3,Iron Ore,6.0,Earth Crystal,1.0,None,None,Alloy Greaves,Speed Sharpening,1.0,None,None
42,43,Pukei Hood,2,head,both,0,0,0,12,44,70,0,3,-3,0,1,Pukei Hood,Pukei-Pukei Shell,2,Pukei-Pukei Tail,1.0,Pukei-Pukei Quill,2.0,Machalite Ore,2.0,Pukei Hood,Survival Expert,1.0,None,None
43,44,Pukei Mail,2,chest,both,0,0,0,12,44,70,0,3,-3,0,1,Pukei Mail,Pukei-Pukei Scale,2,Pukei-Pukei Shell,1.0,Iron Ore,3.0,None,None,Pukei Mail,Item Prolonger,1.0,None,None
44,45,Pukei Vambraces,2,arms,both,0,0,0,12,44,70,0,3,-3,0,1,Pukei Vambraces,Pukei-Pukei Scale,2,Pukei-Pukei Shell,1.0,Poison Sac,1.0,None,None,Pukei Vambraces,Poison Resistance,1.0,None,None
45,46,Pukei Coil,2,waist,both,0,0,0,12,44,70,0,3,-3,0,1,Pukei Coil,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1.0,Pukei-Pukei Sac,1.0,Poison Sac,1.0,Pukei Coil,Poison Attack,1.0,None,None
46,47,Pukei Greaves,2,legs,both,0,0,0,12,44,70,0,3,-3,0,1,Pukei Greaves,Pukei-Pukei Shell,2,Pukei-Pukei Sac,1.0,Pukei-Pukei Scale,2.0,Monster Bone M,1.0,Pukei Greaves,Botanist,1.0,None,None
47,48,Barroth Helm,2,head,both,0,0,0,14,46,72,-3,-1,3,-1,0,Barroth Helm,Barroth Ridge,2,Barroth Tail,1.0,Barroth Claw,2.0,Kestodon Shell,2.0,Barroth Helm,Guard,1.0,None,None
48,49,Barroth Mail,2,chest,both,0,0,0,14,46,72,-3,-1,3,-1,0,Barroth Mail,Barroth Shell,2,Barroth Ridge,1.0,Barroth Claw,1.0,Boulder Bone,1.0,Barroth Mail,Stamina Thief,1.0,None,None
49,50,Barroth Vambraces,2,arms,both,0,0,0,14,46,72,-3,-1,3,-1,0,Barroth Vambraces,Barroth Ridge,3,Barroth Tail,1.0,Barroth Scalp,1.0,Kestodon Scalp,1.0,Barroth Vambraces,Marathon Runner,1.0,None,None
50,51,Barroth Coil,2,waist,both,0,0,0,14,46,72,-3,-1,3,-1,0,Barroth Coil,Barroth Shell,2,Barroth Ridge,1.0,Fertile Mud,2.0,None,None,Barroth Coil,Muck Resistance,1.0,None,None
51,52,Barroth Greaves,2,legs,both,0,0,0,14,46,72,-3,-1,3,-1,0,Barroth Greaves,Barroth Ridge,2,Barroth Scalp,1.0,Barroth Shell,1.0,Fertile Mud,2.0,Barroth Greaves,Stun Resistance,1.0,None,None
52,53,Jyura Helm,2,head,both,0,0,0,14,46,72,-1,2,-3,0,0,Jyura Helm,Jyuratodus Scale,2,Jyuratodus Shell,1.0,Jyuratodus Fin,1.0,Gajau Skin,3.0,Jyura Helm,Aquatic/Polar Mobility,1.0,None,None
53,54,Jyura Mail,2,chest,both,0,0,0,14,46,72,-1,2,-3,0,0,Jyura Mail,Jyuratodus Shell,2,Jyuratodus Fin,1.0,Jyuratodus Fang,1.0,Aqua Sac,1.0,Jyura Mail,Muck Resistance,1.0,None,None
54,55,Jyura Vambraces,2,arms,both,0,0,0,14,46,72,-1,2,-3,0,0,Jyura Vambraces,Jyuratodus Shell,2,Jyuratodus Fang,1.0,Gajau Whisker,2.0,None,None,Jyura Vambraces,Water Attack,1.0,None,None
55,56,Jyura Coil,2,waist,both,0,0,0,14,46,72,-1,2,-3,0,0,Jyura Coil,Jyuratodus Scale,2,Jyuratodus Shell,1.0,Aqua Sac,1.0,None,None,Jyura Coil,Ice Resistance,1.0,None,None
56,57,Jyura Greaves,2,legs,both,0,0,0,14,46,72,-1,2,-3,0,0,Jyura Greaves,Jyuratodus Shell,3,Jyuratodus Fang,2.0,Jyuratodus Fin,2.0,Earth Crystal,3.0,Jyura Greaves,Focus,1.0,None,None
57,58,Kadachi Helm,2,head,both,0,0,0,16,48,74,0,-3,3,0,0,Kadachi Helm,Tobi-Kadachi Pelt,2,Tobi-Kadachi Electrode,2.0,Tobi-Kadachi Claw,1.0,Electro Sac,1.0,Kadachi Helm,Constitution,1.0,None,None
58,59,Kadachi Mail,2,chest,both,0,0,0,16,48,74,0,-3,3,0,0,Kadachi Mail,Tobi-Kadachi Pelt,2,Tobi-Kadachi Electrode,1.0,Tobi-Kadachi Membrane,2.0,Wingdrake Hide,2.0,Kadachi Mail,Jump Master,1.0,None,None
59,60,Kadachi Vambraces,2,arms,both,0,0,0,16,48,74,0,-3,3,0,0,Kadachi Vambraces,Tobi-Kadachi Pelt,2,Tobi-Kadachi Claw,1.0,Tobi-Kadachi Scale,2.0,Monster Bone M,2.0,Kadachi Vambraces,Evade Extender,1.0,None,None
60,61,Kadachi Coil,2,waist,both,0,0,0,16,48,74,0,-3,3,0,0,Kadachi Coil,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1.0,Electro Sac,1.0,None,None,Kadachi Coil,Thunder Attack,1.0,None,None
61,62,Kadachi Greaves,2,legs,both,0,0,0,16,48,74,0,-3,3,0,0,Kadachi Greaves,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1.0,Warm Pelt,1.0,None,None,Kadachi Greaves,Thunder Resistance,1.0,None,None
62,63,High Metal Helm,3,head,both,0,0,0,18,46,70,0,-1,-2,3,0,High Metal Helm,Dragonite Ore,2,Machalite Ore,1.0,Iron Ore,6.0,None,None,High Metal Helm,Ice Resistance,1.0,None,None
63,64,High Metal Mail,3,chest,both,0,0,0,18,46,70,0,-1,-2,3,0,High Metal Mail,Dragonite Ore,2,Machalite Ore,2.0,Earth Crystal,2.0,Sharp Claw,2.0,High Metal Mail,Earplugs,1.0,None,None
64,65,High Metal Braces,3,arms,both,0,0,0,18,46,70,0,-1,-2,3,0,High Metal Braces,Dragonite Ore,2,Machalite Ore,2.0,Earth Crystal,2.0,Sharp Claw,2.0,High Metal Braces,Defense Boost,1.0,None,None
65,66,High Metal Coil,3,waist,both,0,0,0,18,46,70,0,-1,-2,3,0,High Metal Coil,Dragonite Ore,2,Machalite Ore,1.0,Iron Ore,6.0,None,None,High Metal Coil,Capacity Boost,1.0,None,None
66,67,High Metal Greaves,3,legs,both,0,0,0,18,46,70,0,-1,-2,3,0,High Metal Greaves,Dragonite Ore,2,Machalite Ore,1.0,Iron Ore,6.0,None,None,High Metal Greaves,Heavy Artillery,1.0,None,None
67,68,King Beetle Vertex,3,head,male,0,0,0,22,50,74,-1,-1,2,0,2,King Beetle Vertex,Great Hornfly,1,Dragonite Ore,2.0,Coral Crystal,2.0,Flame Sac,1.0,King Beetle Vertex,Evade Window,1.0,None,None
68,69,King Beetle Thorax,3,chest,male,0,0,0,22,50,74,-1,-1,2,0,2,King Beetle Thorax,Great Hornfly,1,Earth Crystal,2.0,Coral Crystal,2.0,Poison Sac,1.0,King Beetle Thorax,Quick Sheath,1.0,None,None
69,70,King Beetle Brachia,3,arms,male,0,0,0,22,50,74,-1,-1,2,0,2,King Beetle Brachia,Great Hornfly,1,Earth Crystal,2.0,Coral Crystal,2.0,Aqua Sac,1.0,King Beetle Brachia,Leap of Faith,1.0,None,None
70,71,King Beetle Elytra,3,waist,male,0,0,0,22,50,74,-1,-1,2,0,2,King Beetle Elytra,Great Hornfly,1,Earth Crystal,2.0,Monster Fluid,1.0,Electro Sac,1.0,King Beetle Elytra,Honey Hunter,1.0,None,None
71,72,King Beetle Crura,3,legs,male,0,0,0,22,50,74,-1,-1,2,0,2,King Beetle Crura,Great Hornfly,1,Dragonite Ore,2.0,Monster Fluid,3.0,Paralysis Sac,1.0,King Beetle Crura,Forager's Luck,1.0,None,None
72,78,Shamos Goggles,3,head,both,0,0,0,22,50,74,2,2,0,-3,0,Shamos Goggles,Shamos Hide,2,Shamos Scale,3.0,Coral Bone,1.0,Coral Crystal,1.0,Shamos Goggles,Detector,1.0,None,None
73,79,Hornetaur Helm,3,head,both,0,0,0,18,46,70,-1,-1,0,0,2,Hornetaur Helm,Hornetaur Head,1,Hornetaur Shell,1.0,Machalite Ore,1.0,Monster Fluid,1.0,Hornetaur Helm,Dungmaster,1.0,None,None
74,80,Hornetaur Mail,3,chest,both,0,0,0,18,46,70,-1,-1,0,0,2,Hornetaur Mail,Hornetaur Wing,2,Hornetaur Shell,2.0,Dragonite Ore,2.0,Machalite Ore,2.0,Hornetaur Mail,Effluvial Expert,1.0,None,None
75,81,Hornetaur Vambraces,3,arms,both,0,0,0,18,46,70,-1,-1,0,0,2,Hornetaur Vambraces,Hornetaur Wing,1,Hornetaur Shell,1.0,Iron Ore,3.0,Machalite Ore,1.0,Hornetaur Vambraces,Free Meal,1.0,None,None
76,82,Hornetaur Coil,3,waist,both,0,0,0,18,46,70,-1,-1,0,0,2,Hornetaur Coil,Hornetaur Wing,1,Hornetaur Shell,1.0,Iron Ore,3.0,Machalite Ore,1.0,Hornetaur Coil,Carving Pro,1.0,None,None
77,83,Hornetaur Greaves,3,legs,both,0,0,0,18,46,70,-1,-1,0,0,2,Hornetaur Greaves,Hornetaur Wing,2,Hornetaur Shell,2.0,Dragonite Ore,3.0,Monster Fluid,2.0,Hornetaur Greaves,Handicraft,1.0,None,None
78,84,Anja Helm,3,head,both,0,0,0,20,48,72,3,-3,-1,-1,0,Anja Helm,Anjanath Pelt,3,Anjanath Scale,3.0,Anjanath Tail,1.0,Flame Sac,1.0,Anja Helm,Fire Attack,1.0,None,None
79,85,Anja Mail,3,chest,both,0,0,0,20,48,72,3,-3,-1,-1,0,Anja Mail,Anjanath Pelt,3,Anjanath Fang,2.0,Anjanath Nosebone,1.0,Anjanath Plate,1.0,Anja Mail,Marathon Runner,1.0,None,None
80,86,Anja Vambraces,3,arms,both,0,0,0,20,48,72,3,-3,-1,-1,0,Anja Vambraces,Anjanath Pelt,2,Anjanath Scale,2.0,Anjanath Nosebone,1.0,Monster Bone L,2.0,Anja Vambraces,Special Ammo Boost,1.0,None,None
81,87,Anja Coil,3,waist,both,0,0,0,20,48,72,3,-3,-1,-1,0,Anja Coil,Anjanath Scale,2,Anjanath Pelt,1.0,Anjanath Fang,2.0,Machalite Ore,2.0,Anja Coil,Fire Resistance,1.0,None,None
82,88,Anja Greaves,3,legs,both,0,0,0,20,48,72,3,-3,-1,-1,0,Anja Greaves,Anjanath Scale,2,Anjanath Pelt,1.0,Flame Sac,1.0,Machalite Ore,2.0,Anja Greaves,Artillery,1.0,None,None
83,89,Rathian Helm,3,head,both,0,0,0,22,50,74,2,0,-2,0,-3,Rathian Helm,Rathian Shell,2,Rathian Scale,3.0,Rathian Webbing,2.0,Flame Sac,1.0,Rathian Helm,Health Boost,1.0,None,None
84,90,Rathian Mail,3,chest,both,0,0,0,22,50,74,2,0,-2,0,-3,Rathian Mail,Rathian Scale,2,Rathian Shell,1.0,Rathian Webbing,1.0,Ancient Bone,2.0,Rathian Mail,Botanist,1.0,None,None
85,91,Rathian Vambraces,3,arms,both,0,0,0,22,50,74,2,0,-2,0,-3,Rathian Vambraces,Rathian Shell,2,Rathian Scale,2.0,Rathian Spike,1.0,Monster Bone L,2.0,Rathian Vambraces,Poison Attack,1.0,None,None
86,92,Rathian Coil,3,waist,both,0,0,0,22,50,74,2,0,-2,0,-3,Rathian Coil,Rathian Scale,2,Rathian Shell,1.0,Rath Wingtalon,2.0,Boulder Bone,2.0,Rathian Coil,Poison Resistance,1.0,None,None
87,93,Rathian Greaves,3,legs,both,0,0,0,22,50,74,2,0,-2,0,-3,Rathian Greaves,Rathian Shell,3,Rathian Spike,1.0,Rath Wingtalon,2.0,Rathian Plate,1.0,Rathian Greaves,Recovery Up,1.0,None,None
88,94,Tzitzi Headgear,3,head,both,0,0,0,18,46,70,0,0,-3,-2,0,Tzitzi Headgear,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1.0,Tzitzi-Ya-Ku Photophore,1.0,Coral Crystal,1.0,Tzitzi Headgear,Blindsider,1.0,None,None
89,95,Tzitzi Mail,3,chest,both,0,0,0,18,46,70,0,0,-3,-2,0,Tzitzi Mail,Tzitzi-Ya-Ku Hide,3,Tzitzi-Ya-Ku Claw,2.0,Tzitzi-Ya-Ku Photophore,2.0,Lightcrystal,1.0,Tzitzi Mail,Constitution,1.0,None,None
90,96,Tzitzi Vambraces,3,arms,both,0,0,0,18,46,70,0,0,-3,-2,0,Tzitzi Vambraces,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Photophore,1.0,Tzitzi-Ya-Ku Scale,3.0,Coral Crystal,2.0,Tzitzi Vambraces,Stun Resistance,1.0,None,None
91,97,Tzitzi Coil,3,waist,both,0,0,0,18,46,70,0,0,-3,-2,0,Tzitzi Coil,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Claw,2.0,Coral Crystal,2.0,None,None,Tzitzi Coil,Wide-Range,1.0,None,None
92,98,Tzitzi Greaves,3,legs,both,0,0,0,18,46,70,0,0,-3,-2,0,Tzitzi Greaves,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1.0,Tzitzi-Ya-Ku Claw,1.0,None,None,Tzitzi Greaves,Sleep Resistance,1.0,None,None
93,99,Lumu Hat,3,head,both,0,0,0,20,48,72,-3,2,0,1,0,Lumu Hat,Paolumu Scale,2,Paolumu Webbing,2.0,Paolumu Shell,2.0,Lightcrystal,1.0,Lumu Hat,Stamina Surge,1.0,None,None
94,100,Lumu Mail,3,chest,both,0,0,0,20,48,72,-3,2,0,1,0,Lumu Mail,Paolumu Scale,2,Paolumu Shell,1.0,Paolumu Pelt,2.0,Coral Bone,1.0,Lumu Mail,Master Mounter,1.0,None,None
95,101,Lumu Vambraces,3,arms,both,0,0,0,20,48,72,-3,2,0,1,0,Lumu Vambraces,Paolumu Pelt,2,Paolumu Scale,1.0,Paolumu Webbing,1.0,None,None,Lumu Vambraces,Artillery,1.0,None,None
96,102,Lumu Coil,3,waist,both,0,0,0,20,48,72,-3,2,0,1,0,Lumu Coil,Paolumu Pelt,2,Paolumu Scale,1.0,Paolumu Shell,1.0,None,None,Lumu Coil,Divine Blessing,1.0,None,None
97,103,Lumu Greaves,3,legs,both,0,0,0,20,48,72,-3,2,0,1,0,Lumu Greaves,Paolumu Scale,2,Paolumu Pelt,2.0,Paolumu Webbing,1.0,Coral Bone,1.0,Lumu Greaves,Windproof,1.0,None,None
98,104,Girros Mask,3,head,both,0,0,0,20,48,72,0,-3,2,0,1,Girros Mask,Great Girros Scale,2,Great Girros Hide,1.0,Great Girros Hood,1.0,Girros Scale,3.0,Girros Mask,Horn Maestro,1.0,None,None
99,105,Girros Mail,3,chest,both,0,0,0,20,48,72,0,-3,2,0,1,Girros Mail,Great Girros Hide,2,Great Girros Tail,1.0,Great Girros Fang,2.0,Paralysis Sac,2.0,Girros Mail,Paralysis Resistance,1.0,None,None
100,106,Girros Vambraces,3,arms,both,0,0,0,20,48,72,0,-3,2,0,1,Girros Vambraces,Great Girros Scale,2,Great Girros Hide,1.0,Girros Fang,2.0,None,None,Girros Vambraces,Palico Rally,1.0,None,None
101,107,Girros Coil,3,waist,both,0,0,0,20,48,72,0,-3,2,0,1,Girros Coil,Great Girros Hide,2,Great Girros Tail,1.0,Great Girros Hood,1.0,Girros Hide,3.0,Girros Coil,Effluvial Expert,1.0,None,None
102,108,Girros Greaves,3,legs,both,0,0,0,20,48,72,0,-3,2,0,1,Girros Greaves,Great Girros Hide,2,Great Girros Fang,2.0,Great Girros Scale,2.0,Monster Bone M,4.0,Girros Greaves,Paralysis Attack,1.0,None,None
103,109,Baan Helm,3,head,both,0,0,0,24,52,76,0,2,0,-1,-2,Baan Helm,Radobaan Shell,3,Radobaan Oilshell,2.0,Wyvern Bonemass,2.0,Radobaan Marrow,1.0,Baan Helm,Slugger,1.0,None,None
104,110,Baan Mail,3,chest,both,0,0,0,24,52,76,0,2,0,-1,-2,Baan Mail,Radobaan Scale,2,Radobaan Shell,1.0,Radobaan Oilshell,1.0,Sleep Sac,1.0,Baan Mail,Sleep Resistance,1.0,None,None
105,111,Baan Vambraces,3,arms,both,0,0,0,24,52,76,0,2,0,-1,-2,Baan Vambraces,Radobaan Scale,2,Radobaan Shell,1.0,Radobaan Oilshell,1.0,Sturdy Bone,3.0,Baan Vambraces,Sleep Attack,1.0,None,None
106,112,Baan Coil,3,waist,both,0,0,0,24,52,76,0,2,0,-1,-2,Baan Coil,Radobaan Scale,2,Radobaan Oilshell,1.0,Sleep Sac,1.0,Monster Bone L,3.0,Baan Coil,Guard,1.0,None,None
107,113,Baan Greaves,3,legs,both,0,0,0,24,52,76,0,2,0,-1,-2,Baan Greaves,Radobaan Shell,2,Radobaan Scale,2.0,Wyvern Bonemass,2.0,Warped Bone,2.0,Baan Greaves,Bleeding Resistance,1.0,None,None
108,114,Ingot Helm,4,head,both,0,0,0,28,52,72,-2,0,3,-1,0,Ingot Helm,Dragonite Ore,2,Monster Bone+,1.0,Iron Ore,8.0,Machalite Ore,3.0,Ingot Helm,Thunder Attack,1.0,None,None
109,115,Ingot Mail,4,chest,both,0,0,0,28,52,72,-2,0,3,-1,0,Ingot Mail,Dragonite Ore,2,Monster Bone+,1.0,Iron Ore,8.0,Machalite Ore,3.0,Ingot Mail,Thunder Resistance,1.0,None,None
110,116,Ingot Vambraces,4,arms,both,0,0,0,28,52,72,-2,0,3,-1,0,Ingot Vambraces,Dragonite Ore,3,Monster Bone+,1.0,Coral Crystal,3.0,Lightcrystal,1.0,Ingot Vambraces,Health Boost,1.0,None,None
111,117,Ingot Coil,4,waist,both,0,0,0,28,52,72,-2,0,3,-1,0,Ingot Coil,Dragonite Ore,3,Monster Bone+,1.0,Coral Crystal,3.0,Lightcrystal,1.0,Ingot Coil,Windproof,1.0,None,None
112,118,Ingot Greaves,4,legs,both,0,0,0,28,52,72,-2,0,3,-1,0,Ingot Greaves,Dragonite Ore,2,Monster Bone+,1.0,Earth Crystal,3.0,Machalite Ore,3.0,Ingot Greaves,Defense Boost,1.0,None,None
