,id,name_en,weapon_type_x,previous_en,category,rarity,attack,affinity,defense,element_hidden,element1,element1_attack,element2,element2_attack,elderseal,slot_1,slot_2,slot_3,kinsect_bonus,phial,phial_power,shelling,shelling_level,notes,ammo_config,skill,base_name_en,weapon_type_y,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty,weapon_type,maxed,red,orange,yellow,green,blue,white,purple
10,6,Buster Blade III,great-sword,Buster Blade II,N/A,5,672,0,N/A,True,Poison,240.0,N/A,N/A,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buster Blade III,great-sword,Upgrade,Carbalite Ore,8,Dragonite Ore,5.0,Dragonvein Crystal,2.0,N/A,N/A,great-sword,False,100,50,50,80,70,0,0
11,7,Chrome Razor I,great-sword,Buster Blade III,N/A,6,720,0,N/A,True,Poison,330.0,N/A,N/A,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Razor I,great-sword,Upgrade,Fucium Ore,8,Carbalite Ore,5.0,Dragonite Ore,10.0,Dragonvein Crystal,3.0,great-sword,False,90,50,50,80,80,0,0
12,8,Chrome Razor II,great-sword,Chrome Razor I,N/A,6,864,0,N/A,True,Poison,420.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Razor II,great-sword,Upgrade,Elder Dragon Blood,2,Fucium Ore,13.0,Carbalite Ore,20.0,Firecell Stone,1.0,great-sword,False,60,60,20,150,90,20,0
13,2006,Chrome Deathscythe I,great-sword,Chrome Razor II,N/A,9,1056,0,N/A,True,Poison,480.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Deathscythe I,great-sword,Create,Eltalite Ore,6,Carbalite Ore,10.0,Firecell Stone,2.0,Purecrystal,1.0,great-sword,False,90,80,30,30,80,90,0
14,2006,Chrome Deathscythe I,great-sword,Chrome Razor II,N/A,9,1056,0,N/A,True,Poison,480.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Deathscythe I,great-sword,Upgrade,Eltalite Ore,2,Carbalite Ore,4.0,Spiritvein Crystal,2.0,Gracium,1.0,great-sword,False,90,80,30,30,80,90,0
15,2007,Chrome Deathscythe II,great-sword,Chrome Deathscythe I,N/A,10,1152,0,N/A,True,Poison,510.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Deathscythe II,great-sword,Upgrade,Monster Slogbone,3,Eltalite Ore,4.0,Meldspar Ore,2.0,Bathycite Ore,2.0,great-sword,False,80,80,30,30,80,100,0
16,2008,Chrome Deathscythe III,great-sword,Chrome Deathscythe II,N/A,11,1248,0,N/A,True,Poison,540.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Deathscythe III,great-sword,Upgrade,Pure Dragon Blood,3,Eltalite Ore,6.0,Meldspar Ore,3.0,Purecrystal,1.0,great-sword,False,120,30,30,60,50,80,30
17,9,Nergal Judicator,great-sword,Chrome Razor I,N/A,7,912,0,N/A,False,Dragon,120.0,N/A,N/A,high,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nergal Judicator,great-sword,Upgrade,Nergigante Talon,3,Nergigante Regrowth Plate,4.0,Nergigante Tail,2.0,Nergigante Carapace,2.0,great-sword,True,120,120,40,50,70,0,0
18,10,Purgation's Atrocity,great-sword,Nergal Judicator,N/A,8,1008,0,N/A,False,Dragon,150.0,N/A,N/A,high,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Purgation's Atrocity,great-sword,Upgrade,Xeno'jiiva Horn,2,Nergigante Horn+,5.0,Nergigante Talon,5.0,Nergigante Gem,1.0,great-sword,True,110,120,40,50,80,0,0
19,2009,Ruinous Atrocity,great-sword,Purgation's Atrocity,N/A,12,1344,0,N/A,False,Dragon,240.0,N/A,N/A,high,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ruinous Atrocity,great-sword,Upgrade,Annihilating Greathorn,3,Nergigante Hardclaw,4.0,Eternal Regrowth Plate,5.0,Large Elder Dragon Gem,1.0,great-sword,True,80,30,30,110,40,110,0
20,11,Thunder Blade I,great-sword,Buster Sword III,N/A,3,528,0,N/A,False,Thunder,120.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thunder Blade I,great-sword,Upgrade,Dragonite Ore,5,Tobi-Kadachi Electrode,1.0,Tobi-Kadachi Claw,2.0,Electro Sac,1.0,great-sword,False,70,50,80,100,0,0,0
21,12,Thunder Blade II,great-sword,Thunder Blade I,N/A,4,624,0,N/A,False,Thunder,150.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thunder Blade II,great-sword,Upgrade,Monster Bone+,2,Tobi-Kadachi Electrode,2.0,Tobi-Kadachi Membrane,2.0,Coral Crystal,3.0,great-sword,False,60,50,80,110,0,0,0
22,13,Lightning Punisher I,great-sword,Thunder Blade II,N/A,5,672,0,N/A,False,Thunder,180.0,N/A,N/A,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lightning Punisher I,great-sword,Upgrade,Carbalite Ore,5,Tobi-Kadachi Scale+,4.0,Tobi-Kadachi Pelt+,3.0,Vespoid Innerwing,3.0,great-sword,False,100,50,80,100,20,0,0
23,14,Lightning Punisher II,great-sword,Lightning Punisher I,N/A,6,816,0,N/A,False,Thunder,210.0,N/A,N/A,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lightning Punisher II,great-sword,Upgrade,Fucium Ore,5,Tobi-Kadachi Electrode+,2.0,Tobi-Kadachi Membrane,4.0,Thunder Sac,3.0,great-sword,False,100,50,50,80,70,0,0
24,15,Lightning Punisher III,great-sword,Lightning Punisher II,N/A,6,912,0,N/A,False,Thunder,240.0,N/A,N/A,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lightning Punisher III,great-sword,Upgrade,Elder Dragon Blood,3,Tobi-Kadachi Electrode+,4.0,Tobi-Kadachi Claw+,6.0,Wyvern Gem,1.0,great-sword,False,100,120,40,50,90,0,0
25,2010,Lightning Punisher IV,great-sword,Lightning Punisher III,N/A,9,1008,0,N/A,False,Thunder,270.0,N/A,N/A,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lightning Punisher IV,great-sword,Upgrade,Tobi-Kadachi Hardclaw,1,Tobi-Kadachi Shard,2.0,Tobi-Kadachi Thickfur,2.0,Lightning Sac,1.0,great-sword,False,100,100,40,50,60,50,0
26,2011,Severing Bolt I,great-sword,Lightning Punisher IV,N/A,10,1152,0,N/A,False,Thunder,390.0,N/A,N/A,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Severing Bolt I,great-sword,Upgrade,Zinogre Hardclaw,3,Zinogre Deathly Shocker,2.0,Zinogre Cortex,5.0,Lightning Sac,3.0,great-sword,False,100,80,30,30,80,80,0
27,2012,Severing Bolt II,great-sword,Severing Bolt I,N/A,11,1200,0,N/A,False,Thunder,510.0,N/A,N/A,N/A,2,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Severing Bolt II,great-sword,Upgrade,Zinogre Hardhorn,3,Zinogre Electrofur+,4.0,Fulgurbug,5.0,Zinogre Skymerald,1.0,great-sword,False,130,30,90,30,30,70,20
28,16,Freeze Blade I,great-sword,Thunder Blade I,N/A,4,576,0,N/A,False,Ice,240.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Freeze Blade I,great-sword,Upgrade,Legiana Claw,3,Legiana Scale,4.0,Frost Sac,2.0,Coral Crystal,3.0,great-sword,False,60,50,80,110,0,0,0
29,17,Freeze Blade II,great-sword,Freeze Blade I,N/A,5,624,0,N/A,False,Ice,270.0,N/A,N/A,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Freeze Blade II,great-sword,Upgrade,Carbalite Ore,5,Legiana Tail Webbing,2.0,Legiana Webbing,3.0,Shamos Scale+,5.0,great-sword,False,100,50,80,100,20,0,0
30,18,Frost Blaze I,great-sword,Freeze Blade II,N/A,6,720,0,N/A,False,Ice,330.0,N/A,N/A,N/A,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frost Blaze I,great-sword,Upgrade,Fucium Ore,5,Legiana Scale+,5.0,Legiana Wing,3.0,Freezer Sac,3.0,great-sword,False,90,50,50,80,80,0,0
31,19,Frost Blaze II,great-sword,Frost Blaze I,N/A,6,768,0,N/A,False,Ice,390.0,N/A,N/A,N/A,3,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frost Blaze II,great-sword,Upgrade,Elder Dragon Blood,3,Legiana Claw+,5.0,Legiana Hide+,3.0,Wyvern Gem,1.0,great-sword,False,80,60,80,80,80,20,0
32,2013,Frost Blaze III,great-sword,Frost Blaze II,N/A,9,960,0,N/A,False,Ice,420.0,N/A,N/A,N/A,3,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frost Blaze III,great-sword,Upgrade,Gracium,2,Eltalite Ore,4.0,Cryo Sac,1.0,Wulg Thickfur,3.0,great-sword,False,60,50,60,120,70,40,0
33,2014,Icicle Fang,great-sword,Frost Blaze III,N/A,10,1008,20,N/A,False,Ice,480.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Icicle Fang,great-sword,Upgrade,Barioth Hardclaw,3,Barioth Cortex,4.0,Cryo Sac,4.0,Frozen Bone,3.0,great-sword,False,110,30,30,110,40,80,0
34,2015,Icicle Fang+,great-sword,Icicle Fang,N/A,10,1152,30,N/A,False,Ice,510.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Icicle Fang+,great-sword,Upgrade,Obsidian Icetalon,2,Amber Hardfang,3.0,Barioth Greatspike,3.0,Large Wyvern Gem,1.0,great-sword,False,110,30,30,110,40,80,0
35,2016,Paladire,great-sword,Icicle Fang+,N/A,11,1200,35,N/A,False,Ice,540.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paladire,great-sword,Upgrade,Velkhana Hardclaw,2,Barioth Hardclaw,4.0,Amber Hardfang,2.0,Large Elder Dragon Bone,5.0,great-sword,False,110,30,30,110,40,80,0
36,3222,Glacial Demon,great-sword,Icicle Fang,N/A,11,1296,15,N/A,False,Ice,630.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Glacial Demon,great-sword,Create,Frostfang Ticket,3,Silverwhite Frostfang,3.0,Bergcrusher Claw,2.0,Large Wyvern Gem,1.0,great-sword,False,10,50,50,50,60,120,60
37,3222,Glacial Demon,great-sword,Icicle Fang,N/A,11,1296,15,N/A,False,Ice,630.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Glacial Demon,great-sword,Upgrade,Frostfang Ticket,2,Silverwhite Frostfang,3.0,Bergcrusher Claw,1.0,Gracium,5.0,great-sword,False,10,50,50,50,60,120,60
38,20,Jagras Blade I,great-sword,Buster Sword II,N/A,2,528,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Blade I,great-sword,Upgrade,Great Jagras Claw,1,Great Jagras Hide,1.0,Great Jagras Scale,3.0,Sharp Claw,1.0,great-sword,False,80,70,30,70,0,0,0
39,21,Jagras Blade II,great-sword,Jagras Blade I,N/A,3,576,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Blade II,great-sword,Upgrade,Great Jagras Claw,2,Great Jagras Mane,2.0,Coral Bone,2.0,Tzitzi-Ya-Ku Claw,3.0,great-sword,False,80,50,80,90,0,0,0
40,22,Jagras Blade III,great-sword,Jagras Blade II,N/A,4,672,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Blade III,great-sword,Upgrade,Monster Bone+,3,Great Jagras Scale,5.0,Great Jagras Claw,3.0,Great Jagras Mane,3.0,great-sword,False,60,50,80,110,0,0,0
41,23,Jagras Hacker I,great-sword,Jagras Blade III,N/A,5,816,0,N/A,True,Water,210.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Hacker I,great-sword,Upgrade,Great Jagras Scale+,6,Great Jagras Claw+,4.0,Great Jagras Mane,6.0,Piercing Claw,5.0,great-sword,False,100,50,80,100,20,0,0
42,24,Jagras Hacker II,great-sword,Jagras Hacker I,N/A,6,864,0,N/A,True,Water,240.0,N/A,N/A,N/A,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Hacker II,great-sword,Upgrade,Monster Hardbone,4,Great Jagras Claw+,6.0,Jagras Hide+,6.0,Tzitzi-Ya-Ku Claw+,5.0,great-sword,False,110,50,50,80,60,0,0
43,25,Jagras Hacker III,great-sword,Jagras Hacker II,N/A,6,912,0,N/A,True,Water,300.0,N/A,N/A,N/A,3,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Hacker III,great-sword,Upgrade,Vaal Hazak Talon,2,Great Jagras Claw+,8.0,Great Jagras Hide+,6.0,Novacrystal,1.0,great-sword,False,110,120,40,50,80,0,0
44,2017,Jagras Deathclaw I,great-sword,Jagras Hacker III,N/A,9,1104,0,N/A,True,Water,450.0,N/A,N/A,N/A,3,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Deathclaw I,great-sword,Create,Great Jagras Shard,4,Great Jagras Hardclaw,2.0,Great Jagras Mane+,3.0,Fey Wyvern Gem,1.0,great-sword,False,90,50,50,80,130,0,0
45,2017,Jagras Deathclaw I,great-sword,Jagras Hacker III,N/A,9,1104,0,N/A,True,Water,450.0,N/A,N/A,N/A,3,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Deathclaw I,great-sword,Upgrade,Great Jagras Shard,2,Great Jagras Hardclaw,1.0,Great Jagras Mane+,2.0,Jagras Shard,2.0,great-sword,False,90,50,50,80,130,0,0
46,2018,Jagras Deathclaw II,great-sword,Jagras Deathclaw I,N/A,10,1248,0,N/A,True,Water,600.0,N/A,N/A,N/A,3,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jagras Deathclaw II,great-sword,Upgrade,Monster Slogbone,3,Great Jagras Hardclaw,3.0,Great Jagras Thickhide,3.0,Tough Claw,3.0,great-sword,False,110,80,30,30,80,70,0
47,2019,Mammoth Greataxe I,great-sword,Jagras Deathclaw I,N/A,9,1200,0,N/A,True,Ice,450.0,N/A,N/A,N/A,4,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mammoth Greataxe I,great-sword,Upgrade,Banbaro Great Horn,1,Banbaro Cortex,2.0,Banbaro Chine,2.0,Monster Toughbone,3.0,great-sword,False,90,50,50,80,130,0,0
48,2020,Mammoth Greataxe II,great-sword,Mammoth Greataxe I,N/A,10,1344,0,N/A,True,Ice,600.0,N/A,N/A,N/A,4,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mammoth Greataxe II,great-sword,Upgrade,Monster Solidbone,3,Banbaro Great Horn,3.0,Banbaro Lash,2.0,Dragonbone Artifact,1.0,great-sword,False,90,50,50,80,130,0,0
49,26,Girros Blade I,great-sword,Jagras Blade I,N/A,3,528,15,N/A,False,Paralysis,210.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Girros Blade I,great-sword,Upgrade,Great Girros Fang,1,Great Girros Scale,3.0,Girros Fang,3.0,N/A,N/A,great-sword,False,80,50,80,90,0,0,0
50,27,Girros Blade II,great-sword,Girros Blade I,N/A,4,624,15,N/A,False,Paralysis,240.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Girros Blade II,great-sword,Upgrade,Diablos Fang,2,Great Girros Fang,3.0,Great Girros Hood,2.0,Paralysis Sac,2.0,great-sword,False,60,50,80,110,0,0,0
51,28,Malady's Kiss I,great-sword,Girros Blade II,N/A,5,672,20,N/A,False,Paralysis,270.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Malady's Kiss I,great-sword,Create,Carbalite Ore,6,Great Girros Fang+,5.0,Omniplegia Sac,6.0,Great Girros Hood+,3.0,great-sword,False,110,50,50,80,60,0,0
52,28,Malady's Kiss I,great-sword,Girros Blade II,N/A,5,672,20,N/A,False,Paralysis,270.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Malady's Kiss I,great-sword,Upgrade,Great Girros Fang+,3,Great Girros Scale+,5.0,Great Girros Tail,2.0,Girros Scale+,6.0,great-sword,False,110,50,50,80,60,0,0
53,29,Malady's Kiss II,great-sword,Malady's Kiss I,N/A,6,720,20,N/A,False,Paralysis,360.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Malady's Kiss II,great-sword,Upgrade,Blos Medulla,1,Great Girros Fang+,4.0,Great Girros Hood+,2.0,Omniplegia Sac,4.0,great-sword,False,100,50,50,80,70,0,0
54,30,Malady's Kiss III,great-sword,Malady's Kiss II,N/A,6,768,20,N/A,False,Paralysis,450.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Malady's Kiss III,great-sword,Upgrade,Vaal Hazak Fang+,2,Great Girros Fang+,5.0,Great Girros Hood+,3.0,Bird Wyvern Gem,1.0,great-sword,False,80,60,60,100,70,30,0
55,2021,Naaga Guillotine I,great-sword,Malady's Kiss III,N/A,9,960,20,N/A,False,Paralysis,480.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Naaga Guillotine I,great-sword,Upgrade,Great Girros Hardfang,2,Great Girros Lash,1.0,Ultraplegia Sac,2.0,Tough Claw,2.0,great-sword,False,70,60,60,100,80,30,0
56,2022,Naaga Guillotine II,great-sword,Naaga Guillotine I,N/A,10,1152,25,N/A,False,Paralysis,510.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Naaga Guillotine II,great-sword,Upgrade,Odogaron Hardfang,2,Great Girros Shard,4.0,Great Girros Hardhood,2.0,Fey Wyvern Gem,1.0,great-sword,False,70,60,60,100,80,30,0
57,2023,Hidden Blade I,great-sword,Naaga Guillotine I,N/A,10,1008,20,N/A,True,Poison,480.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hidden Blade I,great-sword,Upgrade,Nargacuga Hardfang,2,Nargacuga Shard,3.0,Nargacuga Tailspear,2.0,Meldspar Ore,1.0,great-sword,False,100,80,30,30,80,80,0
58,2024,Hidden Blade II,great-sword,Hidden Blade I,N/A,10,1152,25,N/A,True,Poison,660.0,N/A,N/A,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hidden Blade II,great-sword,Upgrade,Fulgur Anjanath Hardfang,2,Nargacuga Cutwing+,3.0,Nargacuga Lash,2.0,Nargacuga Mantle,1.0,great-sword,False,140,20,20,70,40,30,80
59,31,Lava Blaze I,great-sword,Malady's Kiss I,N/A,6,768,0,N/A,False,Fire,270.0,N/A,N/A,N/A,2,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lava Blaze I,great-sword,Upgrade,Lavasioth Fin+,2,Lavasioth Fang+,2.0,Lavasioth Scale+,4.0,N/A,N/A,great-sword,False,100,50,50,80,70,0,0
60,32,Lava Blaze II,great-sword,Lava Blaze I,N/A,7,864,0,N/A,False,Fire,330.0,N/A,N/A,N/A,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lava Blaze II,great-sword,Upgrade,Teostra Mane,2,Lavasioth Fin+,3.0,Lavasioth Fang+,3.0,Wyvern Gem,1.0,great-sword,False,90,60,60,100,60,30,0
61,2025,Pyre Cleaver I,great-sword,Lava Blaze II,N/A,10,1104,0,N/A,False,Fire,630.0,N/A,N/A,N/A,4,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pyre Cleaver I,great-sword,Upgrade,Lavasioth Grandfin,1,Lavasioth Hardfang,2.0,Lavasioth Shard,3.0,Barnos Hardclaw,2.0,great-sword,False,100,100,40,50,70,40,0
62,2026,Pyre Cleaver II,great-sword,Pyre Cleaver I,N/A,10,1200,0,N/A,False,Fire,660.0,N/A,N/A,N/A,4,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pyre Cleaver II,great-sword,Upgrade,Azure Rathalos Cortex,2,Lavasioth Grandfin,2.0,Lavasioth Hardfang,2.0,Monster Solidbone,3.0,great-sword,False,100,100,40,50,70,40,0
63,2027,Glavenus Blaze I,great-sword,Lava Blaze II,N/A,10,1104,0,N/A,False,Fire,420.0,N/A,N/A,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Glavenus Blaze I,great-sword,Upgrade,Glavenus Hardfang,2,Glavenus Shard,4.0,Molten Bursa,2.0,Eltalite Ore,6.0,great-sword,False,100,80,30,30,80,80,0
64,2028,Glavenus Blaze II,great-sword,Glavenus Blaze I,N/A,10,1200,0,N/A,False,Fire,450.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Glavenus Blaze II,great-sword,Upgrade,Ebony Odogaron Hardfang,2,Glavenus Hellshell,3.0,Glavenus Tailedge,2.0,Glavenus Mantle,1.0,great-sword,False,130,30,30,60,50,70,30
65,33,Blooming Blade I,great-sword,Buster Sword II,N/A,2,528,0,N/A,False,Poison,240.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Blooming Blade I,great-sword,Upgrade,Pukei-Pukei Quill,2,Pukei-Pukei Scale,3.0,Poison Sac,1.0,N/A,N/A,great-sword,False,60,70,30,90,0,0,0
66,34,Blooming Blade II,great-sword,Blooming Blade I,N/A,3,576,0,N/A,False,Poison,300.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Blooming Blade II,great-sword,Upgrade,Coral Crystal,3,Pukei-Pukei Sac,2.0,Pukei-Pukei Shell,3.0,Pukei-Pukei Tail,1.0,great-sword,False,70,50,80,100,0,0,0
67,35,Blooming Blade III,great-sword,Blooming Blade II,N/A,4,624,0,N/A,False,Poison,360.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Blooming Blade III,great-sword,Upgrade,Monster Bone+,2,Pukei-Pukei Quill,4.0,Pukei-Pukei Sac,2.0,Poison Sac,2.0,great-sword,False,60,50,80,110,0,0,0
68,36,Datura Blaze I,great-sword,Blooming Blade III,N/A,5,720,0,N/A,False,Poison,420.0,N/A,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Datura Blaze I,great-sword,Upgrade,Pukei-Pukei Scale+,3,Pukei-Pukei Wing,2.0,Toxin Sac,2.0,Quality Bone,3.0,great-sword,False,110,50,50,80,60,0,0
