,id,name_en,previous_en,rarity,skill1_name,skill1_level,skill2_name,skill2_level,base_name_en,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
48,241,Flood Charm IV,Flood Charm III,10,Water Attack,4,None,None,Flood Charm IV,Upgrade,Hydrated Sac,3,Fragrant Poison Sac,3,Fierce Dragonvein Bone,4,Phantomcore Ore,1.0
49,242,Flood Charm V,Flood Charm IV,11,Water Attack,5,None,None,Flood Charm V,Upgrade,Tempered Torrent Sac,3,Deepsea Crystal,3,Spiritvein Solidbone,4,Phantomcore Ore,1.0
50,43,Shock Charm I,None,3,Thunder Attack,1,None,None,Shock Charm I,Create,Tobi-Kadachi Electrode,2,Tobi-Kadachi Claw,2,Ancient Bone,4,Aquacore Ore,1.0
51,44,Shock Charm II,Shock Charm I,5,Thunder Attack,2,None,None,Shock Charm II,Upgrade,Tobi-Kadachi Electrode+,2,Tobi-Kadachi Claw+,2,Earth Crystal,6,Spiritcore Ore,1.0
52,45,Shock Charm III,Shock Charm II,7,Thunder Attack,3,None,None,Shock Charm III,Upgrade,Kirin Azure Horn,1,Kirin Thundertail,2,Thunder Sac,3,Dreamcore Ore,1.0
53,243,Shock Charm IV,Shock Charm III,10,Thunder Attack,4,None,None,Shock Charm IV,Upgrade,Crackling Thunderpelt,3,Blinding Cathode,3,Dragonvein Solidbone,4,Phantomcore Ore,1.0
54,244,Shock Charm V,Shock Charm IV,11,Thunder Attack,5,None,None,Shock Charm V,Upgrade,Tempered Cathode,3,Tempered Thunderpelt,3,Spiritvein Solidbone,4,Phantomcore Ore,1.0
55,46,Venom Charm I,None,3,Poison Attack,1,None,None,Venom Charm I,Create,Rathian Plate,1,Rathian Spike,1,Earth Crystal,3,Aquacore Ore,1.0
56,47,Venom Charm II,Venom Charm I,6,Poison Attack,2,None,None,Venom Charm II,Upgrade,Pink Rathian Carapace,2,Rathian Spike+,1,Carbalite Ore,4,Spiritcore Ore,1.0
57,48,Venom Charm III,Venom Charm II,7,Poison Attack,3,None,None,Venom Charm III,Upgrade,High Commendation,1,Rathian Ruby,1,Toxin Sac,3,Dreamcore Ore,1.0
58,245,Venom Charm IV,Venom Charm III,11,Poison Attack,4,None,None,Venom Charm IV,Upgrade,Queen's Scale,3,Forest Crystal,3,Deadly Poison Sac,3,Phantomcore Ore,1.0
59,49,Immobilize Charm I,None,3,Paralysis Attack,1,None,None,Immobilize Charm I,Create,Great Girros Hood,2,Great Girros Fang,2,Warped Bone,4,Aquacore Ore,1.0
60,50,Immobilize Charm II,Immobilize Charm I,5,Paralysis Attack,2,None,None,Immobilize Charm II,Upgrade,Great Girros Hood+,1,Great Girros Fang+,2,Carbalite Ore,4,Spiritcore Ore,1.0
61,51,Immobilize Charm III,Immobilize Charm II,7,Paralysis Attack,3,None,None,Immobilize Charm III,Upgrade,High Commendation,1,Wyvern Gem,1,Omniplegia Sac,3,Dreamcore Ore,1.0
62,246,Immobilize Charm IV,Immobilize Charm III,11,Paralysis Attack,4,None,None,Immobilize Charm IV,Upgrade,Night Hood,3,Effluvial Crystal,3,Ultraplegia Sac,3,Phantomcore Ore,1.0
63,52,Tranq Charm I,None,3,Sleep Attack,1,None,None,Tranq Charm I,Create,Radobaan Marrow,1,Radobaan Oilshell,2,Coral Crystal,3,Aquacore Ore,1.0
64,53,Tranq Charm II,Tranq Charm I,5,Sleep Attack,2,None,None,Tranq Charm II,Upgrade,Radobaan Medulla,1,Radobaan Oilshell,3,Carbalite Ore,4,Spiritcore Ore,1.0
65,54,Tranq Charm III,Tranq Charm II,7,Sleep Attack,3,None,None,Tranq Charm III,Upgrade,High Commendation,1,Vaal Hazak Gem,1,Coma Sac,3,Dreamcore Ore,1.0
66,247,Tranq Charm IV,Tranq Charm III,11,Sleep Attack,4,None,None,Tranq Charm IV,Upgrade,Obsidian Fur,3,Wasteland Crystal,3,Torpor Sac,3,Phantomcore Ore,1.0
67,55,KO Charm I,None,3,Slugger,1,None,None,KO Charm I,Create,Radobaan Marrow,1,Radobaan Oilshell,2,Coral Crystal,3,Aquacore Ore,1.0
68,56,KO Charm II,KO Charm I,5,Slugger,2,None,None,KO Charm II,Upgrade,Radobaan Medulla,1,Radobaan Oilshell,3,Warped Bone,6,Spiritcore Ore,1.0
69,57,KO Charm III,KO Charm II,7,Slugger,3,None,None,KO Charm III,Upgrade,Teostra Gem,1,Teostra Horn+,2,Firecell Stone,1,Dreamcore Ore,1.0
70,58,Enervate Charm I,None,3,Stamina Thief,1,None,None,Enervate Charm I,Create,Barroth Scalp,2,Barroth Claw,2,Earth Crystal,3,Aquacore Ore,1.0
71,59,Enervate Charm II,Enervate Charm I,5,Stamina Thief,2,None,None,Enervate Charm II,Upgrade,Barroth Scalp,3,Barroth Claw+,2,Warped Bone,6,Spiritcore Ore,1.0
72,60,Enervate Charm III,Enervate Charm II,6,Stamina Thief,3,None,None,Enervate Charm III,Upgrade,Blos Medulla,1,Diablos Fang,3,Brutal Bone,2,Dreamcore Ore,1.0
73,61,Artillery Charm I,None,3,Artillery,1,None,None,Artillery Charm I,Create,Anjanath Plate,1,Anjanath Fang,2,Warped Bone,3,Aquacore Ore,1.0
74,62,Artillery Charm II,Artillery Charm I,5,Artillery,2,None,None,Artillery Charm II,Upgrade,Anjanath Gem,1,Anjanath Fang+,2,Novacrystal,1,Spiritcore Ore,1.0
75,63,Artillery Charm III,Artillery Charm II,7,Artillery,3,None,None,Artillery Charm III,Upgrade,Teostra Gem,1,Teostra Horn+,2,Firecell Stone,1,Dreamcore Ore,1.0
76,64,Hungerless Charm I,None,3,Hunger Resistance,1,None,None,Hungerless Charm I,Create,Girros Fang,2,Girros Hide,4,Coral Crystal,3,Aquacore Ore,1.0
77,65,Hungerless Charm II,Hungerless Charm I,5,Hunger Resistance,2,None,None,Hungerless Charm II,Upgrade,Jagras Hide+,6,Jagras Scale+,8,Lightcrystal,1,Spiritcore Ore,1.0
78,66,Hungerless Charm III,Hungerless Charm II,6,Hunger Resistance,3,None,None,Hungerless Charm III,Upgrade,Wyvern Gem,1,Fucium Ore,5,Dragonbone Relic,1,Dreamcore Ore,1.0
79,67,Ironside Charm I,None,3,Guard,1,None,None,Ironside Charm I,Create,Radobaan Marrow,1,Radobaan Oilshell,2,Coral Crystal,3,Aquacore Ore,1.0
80,68,Ironside Charm II,Ironside Charm I,5,Guard,2,None,None,Ironside Charm II,Upgrade,Radobaan Medulla,1,Radobaan Oilshell,3,Novacrystal,1,Spiritcore Ore,1.0
81,69,Ironside Charm III,Ironside Charm II,7,Guard,3,None,None,Ironside Charm III,Upgrade,Vaal Hazak Gem,1,Vaal Hazak Talon,2,Firecell Stone,1,Dreamcore Ore,1.0
82,248,Ironside Charm IV,Ironside Charm III,11,Guard,4,None,None,Ironside Charm IV,Upgrade,Inkstained Oilshell+,2,Uragaan Jaw+,3,Uragaan Pallium,1,Phantomcore Ore,1.0
83,249,Ironside Charm V,Ironside Charm IV,12,Guard,5,None,None,Ironside Charm V,Upgrade,Research Commission Ticket+,2,Tempered Oilshell+,3,Spiritvein Gem Shard,1,Phantomcore Ore,1.0
84,70,Friendship Charm I,None,3,Wide-Range,1,None,None,Friendship Charm I,Create,Tzitzi-Ya-Ku Photophore,2,Tzitzi-Ya-Ku Claw,2,Coral Crystal,4,Aquacore Ore,1.0
85,71,Friendship Charm II,Friendship Charm I,5,Wide-Range,2,None,None,Friendship Charm II,Upgrade,Tzitzi-Ya-Ku Photophore+,1,Tzitzi-Ya-Ku Claw+,2,Novacrystal,1,Spiritcore Ore,1.0
86,72,Friendship Charm III,Friendship Charm II,7,Wide-Range,3,None,None,Friendship Charm III,Upgrade,Elder Dragon Blood,1,High Commendation,1,Brutal Bone,2,Dreamcore Ore,1.0
87,250,Friendship Charm IV,Friendship Charm III,11,Wide-Range,4,None,None,Friendship Charm IV,Upgrade,Dazzling Photophore+,3,Prosperous Crystal,2,Fey Wyvern Gem,1,Phantomcore Ore,1.0
88,251,Friendship Charm V,Friendship Charm IV,12,Wide-Range,5,None,None,Friendship Charm V,Upgrade,Tempered Hide,3,Guiding Forest Crystal,1,Spiritvein Slogbone,4,Phantomcore Ore,1.0
89,73,Extension Charm I,None,3,Item Prolonger,1,None,None,Extension Charm I,Create,Kulu-Ya-Ku Beak,2,Kulu-Ya-Ku Plume,2,Ancient Bone,4,Aquacore Ore,1.0
90,74,Extension Charm II,Extension Charm I,6,Item Prolonger,2,None,None,Extension Charm II,Upgrade,Pink Rathian Carapace,2,Rathian Spike+,1,Novacrystal,1,Spiritcore Ore,1.0
91,75,Extension Charm III,Extension Charm II,7,Item Prolonger,3,None,None,Extension Charm III,Upgrade,High Commendation,1,Daora Tail,1,Firecell Stone,1,Dreamcore Ore,1.0
92,76,Glutton's Charm I,None,3,Speed Eating,1,None,None,Glutton's Charm I,Create,Great Jagras Mane,2,Great Jagras Claw,2,Ancient Bone,4,Aquacore Ore,1.0
93,77,Glutton's Charm II,Glutton's Charm I,5,Speed Eating,2,None,None,Glutton's Charm II,Upgrade,Anjanath Gem,1,Anjanath Fang+,2,Novacrystal,1,Spiritcore Ore,1.0
94,78,Glutton's Charm III,Glutton's Charm II,7,Speed Eating,3,None,None,Glutton's Charm III,Upgrade,Nergigante Gem,1,Nergigante Talon,2,Quality Bone,2,Dreamcore Ore,1.0
95,79,Blessing Charm I,None,3,Divine Blessing,1,None,None,Blessing Charm I,Create,Paolumu Webbing,2,Paolumu Pelt,3,Coral Bone,4,Aquacore Ore,1.0
96,80,Blessing Charm II,Blessing Charm I,5,Divine Blessing,2,None,None,Blessing Charm II,Upgrade,Paolumu Wing,2,Paolumu Pelt+,4,Sturdy Bone,6,Spiritcore Ore,1.0
97,81,Blessing Charm III,Blessing Charm II,7,Divine Blessing,3,None,None,Blessing Charm III,Upgrade,High Commendation,1,Dragonbone Relic,1,Brutal Bone,2,Dreamcore Ore,1.0
98,82,Rally Charm I,None,3,Palico Rally,1,None,None,Rally Charm I,Create,Tailraider Voucher,1,Sinister Cloth,1,Lightcrystal,1,Aquacore Ore,1.0
99,83,Rally Charm II,Rally Charm I,5,Palico Rally,2,None,None,Rally Charm II,Upgrade,Tailraider Voucher,2,Lightcrystal,2,Sturdy Bone,6,Spiritcore Ore,1.0
100,84,Rally Charm III,Rally Charm II,7,Palico Rally,3,None,None,Rally Charm III,Upgrade,Tailraider Voucher,3,High Commendation,2,Quality Bone,2,Dreamcore Ore,1.0
101,252,Rally Charm IV,Rally Charm III,9,Palico Rally,4,None,None,Rally Charm IV,Upgrade,Boaboa Ticket,1,Gracium,4,Spiritvein Crystal,4,Dragoncore Ore,1.0
102,253,Rally Charm V,Rally Charm IV,10,Palico Rally,5,None,None,Rally Charm V,Upgrade,Boaboa Ticket,1,Purecrystal,1,Prized Pelt,3,Dragoncore Ore,1.0
103,85,Botany Charm I,None,3,Botanist,1,None,None,Botany Charm I,Create,Ancient Bone,3,Boulder Bone,3,Lightcrystal,1,Aquacore Ore,1.0
104,86,Botany Charm II,Botany Charm I,5,Botanist,2,None,None,Botany Charm II,Upgrade,Quality Bone,3,Dragonbone Relic,1,Earth Crystal,6,Spiritcore Ore,1.0
105,87,Botany Charm III,Botany Charm II,7,Botanist,3,None,None,Botany Charm III,Upgrade,High Commendation,1,Novacrystal,1,Quality Bone,2,Dreamcore Ore,1.0
106,254,Botany Charm IV,Botany Charm III,9,Botanist,4,None,None,Botany Charm IV,Upgrade,Dragonbone Artifact,1,Frozen Bone,2,Thick Bone,3,Dragoncore Ore,1.0
107,88,Geology Charm I,None,3,Geologist,1,None,None,Geology Charm I,Create,Dragonite Ore,4,Machalite Ore,4,Lightcrystal,1,Aquacore Ore,1.0
108,89,Geology Charm II,Geology Charm I,5,Geologist,2,None,None,Geology Charm II,Upgrade,Carbalite Ore,6,Dragonite Ore,8,Lightcrystal,2,Spiritcore Ore,1.0
109,90,Geology Charm III,Geology Charm II,7,Geologist,3,None,None,Geology Charm III,Upgrade,High Commendation,1,Novacrystal,1,Firecell Stone,1,Dreamcore Ore,1.0
110,91,Slinger Charm I,None,3,Slinger Capacity,1,None,None,Slinger Charm I,Create,Radobaan Marrow,1,Radobaan Oilshell,2,Coral Crystal,3,Aquacore Ore,1.0
111,92,Slinger Charm II,Slinger Charm I,5,Slinger Capacity,2,None,None,Slinger Charm II,Upgrade,Radobaan Medulla,1,Radobaan Oilshell,3,Dragonbone Relic,1,Spiritcore Ore,1.0
112,93,Slinger Charm III,Slinger Charm II,7,Slinger Capacity,3,None,None,Slinger Charm III,Upgrade,High Commendation,1,Bird Wyvern Gem,1,Firecell Stone,1,Dreamcore Ore,1.0
113,94,Stealth Charm I,None,3,Stealth,1,None,None,Stealth Charm I,Create,Great Jagras Mane,2,Great Jagras Claw,2,Lightcrystal,1,Aquacore Ore,1.0
114,95,Stealth Charm II,Stealth Charm I,6,Stealth,2,None,None,Stealth Charm II,Upgrade,Lavasioth Fin+,3,Lavasioth Fang+,2,Dragonbone Relic,3,Spiritcore Ore,1.0
115,96,Stealth Charm III,Stealth Charm II,7,Stealth,3,None,None,Stealth Charm III,Upgrade,High Commendation,1,Bird Wyvern Gem,1,Quality Bone,2,Dreamcore Ore,1.0
116,97,Smoke Charm I,None,3,Survival Expert,1,None,None,Smoke Charm I,Create,Pukei-Pukei Sac,2,Pukei-Pukei Tail,2,Earth Crystal,2,Aquacore Ore,1.0
117,98,Smoke Charm II,Smoke Charm I,5,Survival Expert,2,None,None,Smoke Charm II,Upgrade,Wyvern Gem,1,Commendation,5,Earth Crystal,6,Spiritcore Ore,1.0
118,99,Smoke Charm III,Smoke Charm II,7,Survival Expert,3,None,None,Smoke Charm III,Upgrade,High Commendation,1,Bird Wyvern Gem,1,Firecell Stone,1,Dreamcore Ore,1.0
119,100,Mirewalker Charm I,None,3,Aquatic/Polar Mobility,1,None,None,Mirewalker Charm I,Create,Jyuratodus Fin,2,Jyuratodus Fang,2,Earth Crystal,4,Aquacore Ore,1.0
120,101,Mirewalker Charm II,Mirewalker Charm I,5,Aquatic/Polar Mobility,2,None,None,Mirewalker Charm II,Upgrade,Jyuratodus Fin+,3,Jyuratodus Fang+,2,Coral Crystal,6,Spiritcore Ore,1.0
121,102,Mirewalker Charm III,Mirewalker Charm II,6,Aquatic/Polar Mobility,3,None,None,Mirewalker Charm III,Upgrade,Wyvern Gem,1,Commendation,5,Coral Bone,6,Dreamcore Ore,1.0
122,103,Insect Charm I,None,3,Entomologist,1,None,None,Insect Charm I,Create,Vespoid Wing,2,Vespoid Shell,2,Ancient Bone,4,Aquacore Ore,1.0
123,104,Insect Charm II,Insect Charm I,5,Entomologist,2,None,None,Insect Charm II,Upgrade,Vespoid Innerwing,4,Vespoid Carapace,6,Lightcrystal,2,Spiritcore Ore,1.0
124,105,Insect Charm III,Insect Charm II,6,Entomologist,3,None,None,Insect Charm III,Upgrade,Wyvern Gem,1,Commendation,5,Quality Bone,2,Dreamcore Ore,1.0
125,106,Intimidator Charm I,None,3,Intimidator,1,None,None,Intimidator Charm I,Create,Great Girros Hood,2,Great Girros Fang,2,Warped Bone,4,Aquacore Ore,1.0
126,107,Intimidator Charm II,Intimidator Charm I,5,Intimidator,2,None,None,Intimidator Charm II,Upgrade,Great Jagras Mane,3,Great Jagras Claw+,2,Boulder Bone,6,Spiritcore Ore,1.0
127,108,Intimidator Charm III,Intimidator Charm II,6,Intimidator,3,None,None,Intimidator Charm III,Upgrade,Rathalos Ruby,1,Rathalos Wing,2,Warped Bone,4,Dreamcore Ore,1.0
128,109,Heavy Artillery Charm I,None,3,Heavy Artillery,1,None,None,Heavy Artillery Charm I,Create,Dragonite Ore,4,Tzitzi-Ya-Ku Claw,3,Lightcrystal,1,Aquacore Ore,1.0
129,110,Heavy Artillery Charm II,Heavy Artillery Charm I,5,Heavy Artillery,2,None,None,Heavy Artillery Charm II,Upgrade,Zorah Magdaros Magma,3,Zorah Magdaros Pleura,1,Dragonvein Crystal,3,Aquacore Ore,1.0
130,111,Light Eater's Charm,None,3,Free Meal,1,None,None,Light Eater's Charm,Create,Hornetaur Head,4,Hornetaur Wing,6,Great Girros Fang,3,Aquacore Ore,1.0
131,112,Tracker Charm,None,3,Scenthound,1,None,None,Tracker Charm,Create,Anjanath Nosebone,1,Anjanath Pelt,5,Barroth Scalp,2,Aquacore Ore,1.0
132,113,Fortification Charm,None,3,Fortify,1,None,None,Fortification Charm,Create,Sinister Cloth,3,Anjanath Fang,3,Warped Bone,5,Aquacore Ore,1.0
133,114,Performer's Charm,None,3,Horn Maestro,1,None,None,Performer's Charm,Create,Great Girros Hood,3,Pukei-Pukei Sac,5,Sturdy Bone,5,Aquacore Ore,1.0
134,255,Performer's Charm II,Performer's Charm,9,Horn Maestro,2,None,None,Performer's Charm II,Upgrade,Great Girros Hardhood,1,Girros Shard,2,Thick Bone,3,Dragoncore Ore,1.0
135,115,Capacity Charm,None,3,Capacity Boost,1,None,None,Capacity Charm,Create,Dragonite Ore,8,Rath Wingtalon,3,Lightcrystal,2,Aquacore Ore,1.0
136,116,Bleed Charm I,None,4,Bleeding Resistance,1,None,None,Bleed Charm I,Create,Odogaron Plate,1,Odogaron Fang,2,Warped Bone,4,Aquacore Ore,1.0
137,117,Bleed Charm II,Bleed Charm I,6,Bleeding Resistance,2,None,None,Bleed Charm II,Upgrade,Odogaron Gem,1,Odogaron Claw+,2,Novacrystal,1,Spiritcore Ore,1.0
138,118,Bleed Charm III,Bleed Charm II,7,Bleeding Resistance,3,None,None,Bleed Charm III,Upgrade,Vaal Hazak Gem,1,Vaal Hazak Talon,2,Brutal Bone,2,Dreamcore Ore,1.0
139,119,Speed Heal Charm I,None,4,Recovery Speed,1,None,None,Speed Heal Charm I,Create,Commendation,1,Sturdy Bone,3,Lightcrystal,1,Aquacore Ore,1.0
140,120,Speed Heal Charm II,Speed Heal Charm I,6,Recovery Speed,2,None,None,Speed Heal Charm II,Upgrade,Lavasioth Fin+,3,Lavasioth Fang+,2,Novacrystal,1,Spiritcore Ore,1.0
141,121,Speed Heal Charm III,Speed Heal Charm II,7,Recovery Speed,3,None,None,Speed Heal Charm III,Upgrade,Vaal Hazak Gem,1,Vaal Hazak Wing,2,Brutal Bone,2,Dreamcore Ore,1.0
